town,town_slug,category,category_slug,priority,target_listings,status,notes
Oxted,oxted,Cafés & Brunch,cafes-brunch,3,4,pending,
Oxted,oxted,Things To Do,things-to-do,3,5,pending,Greensand Way
Oxted,oxted,Kids & Family,kids-family,3,3,pending,
Oxted,oxted,Indoor Activities,indoor-activities,3,0,pending,Skip unless venues found
Virginia Water,virginia-water,Restaurants,restaurants,3,4,pending,Premium only
Virginia Water,virginia-water,Pubs & Bars,pubs-bars,3,3,pending,
Virginia Water,virginia-water,Cafés & Brunch,cafes-brunch,3,3,pending,
Virginia Water,virginia-water,Things To Do,things-to-do,3,4,pending,Virginia Water lake / Great Windsor Park
Virginia Water,virginia-water,Kids & Family,kids-family,3,3,pending,
Virginia Water,virginia-water,Indoor Activities,indoor-activities,3,0,pending,Skip
Cranleigh,cranleigh,Restaurants,restaurants,3,4,pending,
Cranleigh,cranleigh,Pubs & Bars,pubs-bars,3,4,pending,
Cranleigh,cranleigh,Cafés & Brunch,cafes-brunch,3,3,pending,
Cranleigh,cranleigh,Things To Do,things-to-do,3,4,pending,
Cranleigh,cranleigh,Kids & Family,kids-family,3,3,pending,
Cranleigh,cranleigh,Indoor Activities,indoor-activities,3,0,pending,Skip
Staines,staines,Restaurants,restaurants,3,5,pending,
Staines,staines,Pubs & Bars,pubs-bars,3,5,pending,Riverside pubs
Staines,staines,Cafés & Brunch,cafes-brunch,3,4,pending,
Staines,staines,Things To Do,things-to-do,3,4,pending,Thames riverside
Staines,staines,Kids & Family,kids-family,3,3,pending,
Staines,staines,Indoor Activities,indoor-activities,3,3,pending,
